total=26 exact=18 (69%) partial=0
baseline(常に推奨)=19 (73%)
逸脱問=7 逸脱的中=0  <- シミュレーターの価値源泉。目視で部分点を確定すること
確信高: 15/18 = 83%
確信中: 3/8 = 37%

[O]  1 ホットバーの中身       予測=IPlacementTarget参照のみ（推奨）                 実=IPlacementTarget参照のみ（推奨）
[O]  2 選択時の挙動         予測=即建築モード、同キーで解除（推奨）                        実=即建築モード、同キーで解除（推奨）
[O]  3 割当の永続化         予測=サーバ永続（saveにplayer単位）（推奨）                 実=サーバ永続（saveにplayer単位）（推奨）
[X]  4 割当操作           予測=現在の対象を数字キー長押しで登録（推奨）                     実=両方（長押し＋D&D）
[O]  5 旧ホットバー         予測=完全撤廃（推奨）                                 実=完全撤廃（推奨）
[X]  6 装備スロット数        予測=1スロットのみ（推奨）                              実=複数スロット＋循環キー
[O]  7 切替入力           予測=通常モードのホイール循環（推奨）                         実=通常モードのホイール循環（推奨）
[X]  8 スロット数          予測=3スロット固定（推奨）                              実=スロット数はマスタ。個数は固定
[O]  9 装備の実体          予測=独立したIOpenableInventory（推奨）               実=独立したIOpenableInventory（推奨）
[O] 10 装備可否           予測=items.ymlにツール定義を追加（推奨）                   実=items.ymlにツール定義を追加（推奨）
[O] 11 採掘の権威          予測=サーバ権威にする（推奨）                             実=サーバ権威にする（推奨）
[O] 12 権威の範囲          予測=打撃イベント＋サーバ側クールダウン（推奨）                    実=打撃イベント＋サーバ側クールダウン（推奨）
[X] 13 無効な割当          予測=割当は保持しグレーアウト（推奨）                         実=ロード時に無効割当を削除
[O] 14 選択状態の所有        予測=非MonoBehaviourのモデルに移しuGUIは削除（推奨）         実=非MonoBehaviourのモデルに移しuGUIは削除（推奨）
[X] 15 装備UI           予測=HUDに3枠常設＋インベントリからD&D（推奨）                 実=HUDに3枠、右端に置いておく
[O] 16 トピック分割         予測=装備はinventory、ホットバーは新トピック（推奨）             実=装備はinventory、ホットバーは新トピック（推奨）
[O] 17 ツール定義          予測=トップレベル tools 配列に列挙するだけ（推奨）               実=トップレベル tools 配列に列挙するだけ（推奨）
[O] 18 スタック上限         予測=1スロット1個（推奨）                              実=1スロット1個（推奨）
[O] 19 空スロット          予測=建築モードを抜ける（推奨）                            実=建築モードを抜ける（推奨）
[X] 20 ドキュメント         予測=ADR3本＋設計ドキュメント（推奨）                       実=そもそも、統合的にビルドメニューにおくもののキー、IDてきなものの仕組みを策
[O] 21 設置対象ID         予測=全てGuid 1本に統一（推奨）                         実=全てGuid 1本に統一（推奨）
[X] 22 向きの扱い          予測=向きは設置対象から分離しグローバルに持つ                     実=割当はIDのみ、向きは持たない（推奨）
[O] 23 ツールの定義         予測=buildMenu.yml に buildTools 配列を新設（推奨）     実=buildMenu.yml に buildTools 配列を新設（推奨）
[O] 24 カタログの所在        予測=共有アセンブリに1本、BP供給だけ差し替え（推奨）                実=共有アセンブリに1本、BP供給だけ差し替え（推奨）
[O] 25 ドキュメント         予測=ADR＋設計ドキュメントを書く（推奨）                      実=ADR＋設計ドキュメントを書く（推奨）
[X] 28 plan分割         予測=3本に分け、まずAだけ書く                            実=3本に分けて全部今書く
