size_token	inset_token	computed_width	computed_height	right	bottom	panel_rect	pseudo_rect	capture_file	sha256	raw_components	post_bbox	gaps
8.70	7.00	8.6875px	8.6875px	7px	7px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3006591796875,704.0739135742188,1027.9881591796875,712.7614135742188]	/tmp/webui-craft-round4-s8.70-i7.00.png	6a8afdfbd0cfa222526f7c2d36fc8e4662938955951c6b38597ff3143cf37bce	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/248/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.99	8.6875px	8.6875px	6.99px	6.99px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3106591796875,704.0839135742187,1027.9981591796875,712.7714135742187]	/tmp/webui-craft-round4-s8.70-i6.99.png	247e97f3a0c0dc0c3f2c1066adbea730cde73b36b239ffccc046819b0e1d98bd	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.98	8.6875px	8.6875px	6.98px	6.98px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3206591796875,704.0939135742187,1028.0081591796875,712.7814135742187]	/tmp/webui-craft-round4-s8.70-i6.98.png	a49c344cc4e87236aa8c88e859e3858f198951805395ea7bfcc4a05a1ff9fd12	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.97	8.6875px	8.6875px	6.97px	6.97px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3306591796875,704.1039135742187,1028.0181591796875,712.7914135742187]	/tmp/webui-craft-round4-s8.70-i6.97.png	a49c344cc4e87236aa8c88e859e3858f198951805395ea7bfcc4a05a1ff9fd12	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.96	8.6875px	8.6875px	6.96px	6.96px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3406591796875,704.1139135742187,1028.0281591796875,712.8014135742187]	/tmp/webui-craft-round4-s8.70-i6.96.png	8a06a8717ce5001fa53d4a0d3db3b9372fa85a2bf4cceb5609744384ef5be427	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.94	8.6875px	8.6875px	6.94px	6.94px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3606591796874,704.1339135742187,1028.0481591796874,712.8214135742187]	/tmp/webui-craft-round4-s8.70-i6.94.png	75d15dac4e1709ed68655b8cd27c00b25cb3b23ba7e7583eb1acc3449c264897	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.93	8.6875px	8.6875px	6.93px	6.93px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3706591796874,704.1439135742188,1028.0581591796874,712.8314135742188]	/tmp/webui-craft-round4-s8.70-i6.93.png	43062af0f22acae116ee22792446175675ccfb04002f7896bd5fb2e50556dc3d	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.91	8.6875px	8.6875px	6.91px	6.91px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.3906591796874,704.1639135742188,1028.0781591796874,712.8514135742188]	/tmp/webui-craft-round4-s8.70-i6.91.png	9d42b66c141c6f0efa6509ed8b60fb3b276b980b0c679572a7d9b719f8806e96	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2029,1398)-(2050,1418)/252/touch=0/min=1/selected=1	(2029,1398)-(2050,1418)	20,20
8.70	6.87	8.6875px	8.6875px	6.87px	6.87px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.4306591796876,704.2039135742187,1028.1181591796876,712.8914135742187]	/tmp/webui-craft-round4-s8.70-i6.87.png	5f2a189874826085485030e42945bf5ce0512e43f244b8f7dec40ab418809427	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2030,1398)-(2050,1418)/231/touch=0/min=1/selected=1	(2030,1398)-(2050,1418)	20,20
8.70	6.86	8.6875px	8.6875px	6.86px	6.86px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.4406591796876,704.2139135742187,1028.1281591796876,712.9014135742187]	/tmp/webui-craft-round4-s8.70-i6.86.png	5f2a189874826085485030e42945bf5ce0512e43f244b8f7dec40ab418809427	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2030,1398)-(2050,1418)/231/touch=0/min=1/selected=1	(2030,1398)-(2050,1418)	20,20
8.70	6.85	8.6875px	8.6875px	6.85px	6.85px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.4506591796876,704.2239135742187,1028.1381591796876,712.9114135742187]	/tmp/webui-craft-round4-s8.70-i6.85.png	5b89e11cf7dbf8991ff3d9a848fa421bdb739d42ec8a34e4fa2712175a842311	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2030,1398)-(2050,1418)/231/touch=0/min=1/selected=1	(2030,1398)-(2050,1418)	20,20
8.70	6.83	8.6875px	8.6875px	6.83px	6.83px	[604.2838745117188,166.71148681640625,1034.9881591796875,719.7614135742188]	[1019.4706591796876,704.2439135742187,1028.1581591796876,712.9314135742187]	/tmp/webui-craft-round4-s8.70-i6.83.png	23a8d96949861c5b9c7af7c10061d6a107a7b4298e4d6863b2c41c44efe5ea0d	(1991,1359)-(2060,1428)/139/touch=0/min=1/selected=0;(2030,1398)-(2050,1418)/231/touch=0/min=1/selected=1	(2030,1398)-(2050,1418)	20,20
