lang_name,display_name,steam_api_lang_code
arabic,العربية,ar
bulgarian,български език,bg
schinese,简体中文,zh-CN
tchinese,繁體中文,zh-TW
czech,čeština,cs
danish,Dansk,da
dutch,Nederlands,nl
english,English,en
finnish,Suomi,fi
french,Français,fr
german,Deutsch,de
greek,Ελληνικά,el
hungarian,Magyar,hu
italian,Italiano,it
japanese,日本語,ja
koreana,한국어,ko
norwegian,Norsk,no
polish,Polski,pl
portuguese,Português,pt
brazilian,Português-Brasil,pt-BR
romanian,Română,ro
russian,Русский,ru
spanish,Español-España,es
latam,Español-Latinoamérica,es-419
swedish,Svenska,sv
thai,ไทย,th
turkish,Türkçe,tr
ukrainian,Українська,uk
vietnamese,Tiếng Việt,vn
